,Rank,Athlete,Age,Team,Total Points,100-metres Rank,100-metres,100-metres PTS,long-jump Rank,long-jump,long-jump PTS,shot-put Rank,shot-put,shot-put PTS,high-jump Rank,high-jump,high-jump PTS,400-metres Rank,400-metres,400-metres PTS,110-metre-hurdles Rank,110-metre-hurdles,110-metre-hurdles PTS,discus-throw Rank,discus-throw,discus-throw PTS,pole-vault Rank,pole-vault,pole-vault PTS,javelin-throw Rank,javelin-throw,javelin-throw PTS,1500-metres Rank,1500-metres,1500-metres PTS,Competition,Date,Location
0,1,Daley Thompson,21.0,Great Britain,8522.0,1,10.62,947,1,8.0,1061.0,5,15.18,801,2T,2.08,878,1,48.01,909.0,2,14.47,915.0,12,42.24,710,5T,4.7,819.0,6,64.16,801.0,10,279.9,681.0,Olympics,2000-09-27,Sydney
1,2,Yury Kutsenko,28.0,Soviet Union,8369.0,6,11.19,819,2,7.74,995.0,7,14.5,759,2T,2.08,878,3T,48.67,877.0,9,15.04,845.0,15,39.86,662,1T,4.9,880.0,2,68.08,860.0,1,262.6,794.0,Olympics,2000-09-27,Sydney
2,3,Sergey Zhelanov,23.0,Soviet Union,8135.0,16T,11.4,774,4,7.6,960.0,11,14.17,739,1,2.18,973,8,49.27,849.0,6T,14.83,870.0,10,42.8,722,7T,4.6,790.0,10,57.3,697.0,3,267.5,761.0,Olympics,2000-09-27,Sydney
3,4,Georg Werthner,24.0,Austria,8084.0,20,11.44,765,9T,7.27,878.0,15,13.45,695,8T,2.03,831,7,49.26,849.0,10,15.08,840.0,18,38.14,627,3,4.85,865.0,1,73.66,945.0,2,263.4,789.0,Olympics,2000-09-27,Sydney
4,5,Sepp Zeilbauer,27.0,Austria,7989.0,11,11.29,797,12,7.14,847.0,4,15.31,809,8T,2.03,831,16,50.91,773.0,4,14.8,874.0,9,44.0,746,10,4.5,760.0,5,64.86,811.0,7,270.6,741.0,Olympics,2000-09-27,Sydney
5,6,Dariusz Ludwig,25.0,Poland,7972.0,13T,11.35,784,5,7.51,937.0,17,13.32,687,2T,2.08,878,15,50.55,789.0,15,15.38,804.0,6,45.82,784,4,4.8,849.0,7,58.38,713.0,5,269.7,747.0,Olympics,2000-09-27,Sydney
6,7,Atanas Andonov,25.0,Bulgaria,7887.0,15,11.38,778,15T,6.86,781.0,3,15.59,826,11T,2.0,803,13,50.36,798.0,6T,14.83,870.0,3,47.62,821,5T,4.7,819.0,15,53.54,641.0,4,269.2,750.0,Olympics,2000-09-27,Sydney
7,8,Steffen Grummt,20.0,East Germany,7840.0,13T,11.35,784,15T,6.86,781.0,2,16.15,861,14,1.94,749,9,49.39,843.0,5,14.82,871.0,1,48.56,840,13T,4.3,702.0,14,55.24,666.0,6,270.2,743.0,Olympics,2000-09-27,Sydney
8,9,Esa Jokinen,22.0,Finland,7792.999999999999,16T,11.4,774,9T,7.27,878.0,12,14.12,736,6T,2.06,859,6,49.06,858.0,17,15.62,776.0,14,40.48,674,16,4.2,673.0,3,67.38,849.0,9,274.4,716.0,Olympics,2000-09-27,Sydney
9,10,Janusz Szczerkowski,26.0,Poland,7794.0,7T,11.22,812,6,7.38,905.0,13,14.06,732,11T,2.0,803,10,49.64,831.0,3,14.57,902.0,8,44.74,761,1T,4.9,880.0,16,45.22,518.0,13T,284.9,650.0,Olympics,2000-09-27,Sydney
10,11,Johannes Lahti,28.0,Finland,7725.0,12,11.32,791,11,7.2,862.0,10,14.28,745,8T,2.03,831,12,50.06,812.0,11,15.14,833.0,11,42.44,714,7T,4.6,790.0,11,56.94,692.0,11,284.0,655.0,Olympics,2000-09-27,Sydney
